no;questions;category0
4751;Who led the Normans to victory in the Battle of Hastings ?;HUMAN
4752;What is the origin of the word `` Teddy bear '' ?;DESCRIPTION
4753;What percentage of the world 's plant and animal species can be found in the Amazon forests ?;NUMERIC
4754;What 's the name of the star of the cooking show , `` Galloping Gourmet '' ?;HUMAN
4755;Who invented the horoscope ?;HUMAN
4756;What nutrients are for healthy bones and teeth ?;ENTITY
4757;What are Fortune 500 companies ?;DESCRIPTION
4758;What is the difference between ninjitsu and kung fu ?;DESCRIPTION
4759;What king was forced to agree to the Magna Carta ?;HUMAN
4760;How many electoral college votes does Colorado have ?;NUMERIC
4761;What were Babe Ruth 's Christian names ?;HUMAN
4762;How many bottles of wine were prisoners in the Bastille allowed per day ?;NUMERIC
4763;Where do lobsters like to live ?;LOCATION
4764;Who was the first elected mayor of Washington , D.C. ?;HUMAN
4765;What are the wolverine habits ?;ENTITY
4766;How do you fix squeaky floors ?;DESCRIPTION
4767;When was the Big Thompson flood ?;NUMERIC
4768;What good are mosquitoes ?;DESCRIPTION
4769;How do you get bubblegum out of carpet ?;DESCRIPTION
4770;What 's played at Wembley Stadium , London , every May ?;ENTITY
4771;Who wrote the sci-fi trilogy Foundation , Foundation and Empire , and Second Foundation ?;HUMAN
4772;How many hours of work does it take a typist to complete a 100-page screenplay ?;NUMERIC
4773;What is Alice Cooper 's real name ?;HUMAN
4774;What is the Peloponnesian League ?;DESCRIPTION
4775;What two cities usually mark the extremes of English Channel swims ?;LOCATION
4776;How many times does the tide ebb and flow each day ?;NUMERIC
4777;Who invented television ?;HUMAN
4778;What are tannins ?;DESCRIPTION
4779;How does General Mills manufacture Cheerios ?;DESCRIPTION
4780;What was Jimmy Durante 's theme song ?;ENTITY
4781;Name the person who burst through the screen in the Lite beer commercials .;HUMAN
4782;What delicacy is known indelicately as pickled roe ?;ENTITY
4783;What after-dinner treat was invented in 1916 at the George Jung noodle factory in Los Angeles ?;ENTITY
4784;What U.S. vice-president killed Alexander Hamilton in a duel ?;HUMAN
4785;What 's the Fahrenheit equivalent of zero degrees centigrade ?;NUMERIC
4786;How many muscles does an oyster have ?;NUMERIC
4787;What card game derived its name from biritch , or Russian Whist ?;ENTITY
4788;Who wrote `` Much Ado About Nothing '' ?;HUMAN
4789;What is the collective noun for geese ?;ENTITY
4790;What personality traits are Capricorns said to have ?;DESCRIPTION
4791;Where can I get information concerning child custody files for the State of Utah ?;LOCATION
4792;What was John F. Kennedy 's 1960 campaign song ?;ENTITY
4793;What Louisiana Senator won a seat that had been held by his father and mother ?;HUMAN
4794;What hymn did John Steinbeck get his title The Grapes of Wrath from ?;ENTITY
4795;What invention does the principle of conservation of energy make impossible ?;ENTITY
4796;What 's the highest-ranking suit in bridge ?;ENTITY
4797;Who won Oscars for her roles in Gone with the Wind and A Streetcar Named Desire ?;HUMAN
4798;What writer is famous for physically putting himself into the center of his subject matter ?;HUMAN
4799;Who 's the lead singer of the Led Zeppelin band ?;HUMAN
4800;In Dana 's `` Two Years Before the Mast , '' what seafarers lived in an abandoned oven on the beach at San Diego ?;HUMAN
4801;Who plays the cop in the movie `` Kindergarten Cop '' ?;HUMAN
4802;How many characters makes up a word for typing test purposes ?;NUMERIC
4803;What non-mechanical sport achieves the highest speeds ?;ENTITY
4804;What was the 1940 annual salary for a boilermaker ?;NUMERIC
4805;Who created Billy Pilgrim , a survivor of the Dresden firestorm ?;HUMAN
4806;What indoor sport saw the Phoenix Inferno become the Phoenix Pride on July 14 , 1983 , when the temperature hit 111 degrees ?;ENTITY
4807;What country saw the origin of the Asian Flu ?;LOCATION
4808;Who is the richest woman in the world ?;HUMAN
4809;Where can I take a test that will tell me what I should be when I grow up ?;LOCATION
4810;What caused the death of Bob Marley ?;DESCRIPTION
4811;What 's Mrs. Bridges 's job on TV 's Upstairs , Downstairs ?;HUMAN
4812;What daily newspaper will `` help you see clearer across the USA '' ?;ENTITY
4813;What lake in Scotland is said to hold one or more monsters ?;LOCATION
4814;Who were the 1974 Oscar winners ?;HUMAN
4815;What kind of business is 7-Eleven ?;HUMAN
4816;What is Sinn Fein ?;DESCRIPTION
4817;What is the name of the rare neurological disease with symptoms such as : involuntary movements , tics , swearing , and incoherent vocalizations , grunts , shouts , etc. ?;ENTITY
4818;What do river otters eat ?;ENTITY
4819;Who wrote the book , `` Huckleberry Finn '' ?;HUMAN
4820;Who would you use the Heimlich maneuver on ?;HUMAN
4821;What famed library can you reach by dialing 22-287-5 ?;LOCATION
4822;What five-time winner of the Kentucky Derby lost his first 25 races ?;ENTITY
4823;What did Vasco da Gama discover ?;ENTITY
4824;What is Megan 's law ?;DESCRIPTION
4825;Where can I get a complete listing of showtimes in my area ?;LOCATION
4826;Where 's Montenegro ?;LOCATION
4827;What is usenet for the Internet ?;DESCRIPTION
4828;What are field effect transistors ?;DESCRIPTION
4829;What was the killer whale who died at Sea World of a fungal infection named ?;ENTITY
4830;What is witch hazel ?;DESCRIPTION
4831;What is state tree of Nebraska ?;ENTITY
4832;Where is Glasgow ?;LOCATION
4833;Why is Chicago named Chicago ?;DESCRIPTION
4834;What three colors of ink are used to print a U.S. dollar bill ?;ENTITY
4835;What exactly is the purpose of the anteater ?;DESCRIPTION
4836;What is the correct way to use `` may '' vs. `` might '' ?;ENTITY
4837;What North American city boasts the biggest Polish population ?;LOCATION
4838;What radio , TV and movie character did Jackie Gleason and William Bendix play ?;HUMAN
4839;Where is it planned to berth the merchant ship , Lane Victory , which Merchant Marine veterans are converting into a floating museum ?;LOCATION
4840;What does a pedometer measure ?;ENTITY
4841;What is Maurizio Pellegrin 's age ?;NUMERIC
4842;How many thousands of students attend the University of Massachusetts ?;NUMERIC
4843;Name the U.S. Senate majority leader and the Speaker of the House .;HUMAN
4844;What name did football 's New York Titans adopt in 1963 ?;HUMAN
4845;What female suspect in the game of Clue is single ?;HUMAN
4846;Who owns CNN ?;HUMAN
4847;About how many Americans are still unaccounted for from the Vietnam war ?;NUMERIC
4848;What is the chemical reactivity of neon ?;NUMERIC
4849;What is an auto-commentary ?;DESCRIPTION
4850;What is the oldest website on the Internet ?;LOCATION
4851;What is deconstructionism ?;DESCRIPTION
4852;What did Lenny Bruce say that got him arrested ?;DESCRIPTION
4853;What newspaper returned a Pulitzer Prize for the fraudulent story Jimmy 's World ?;ENTITY
4854;What is a fear of speaking ?;ENTITY
4855;What was Hitler 's favorite movie ?;ENTITY
4856;Why do airliners crash vs. gliding down ?;DESCRIPTION
4857;What are those little blue reflectors in the middle of the road for ?;DESCRIPTION
4858;What member of The Little Rascals has an on-again , off-again sweetheart in Darla Hood ?;HUMAN
4859;How is saline used in medicine ?;DESCRIPTION
4860;What is the name of the ` female ' counterpart to El Nino , which results in cooling temperatures and very dry weather ?;ENTITY
4861;What incident of 1933 did the German Nazis use to justify emergency decrees , imprisoning opponents and vesting more power in themselves ?;ENTITY
4862;What country are you visiting if you land at President Duvalier Airport ?;LOCATION
4863;What attorney-general ordered the closing of Alcatraz ?;HUMAN
4864;What is the capital of Congo ?;LOCATION
4865;What is the text of the Fifth Amendment ?;DESCRIPTION
4866;What is a country that starts with the letter x ?;LOCATION
4867;What countries earn the most from tourism ?;LOCATION
4868;What is the Internet2 ?;DESCRIPTION
4869;Which city in China has the largest number of foreign financial companies ?;LOCATION
4870;When are the Oscars Academy Awards in 1999 ?;NUMERIC
4871;Who was the prophet of the Jewish people ?;HUMAN
4872;What is the most common name ?;HUMAN
4873;Who was the oldest U.S. president ?;HUMAN
4874;What common plant has a button , cap , cup , gills , and ring ?;ENTITY
4875;When was Dubai 's first concrete house built ?;NUMERIC
4876;What is the Milky Way ?;DESCRIPTION
4877;What is Remembrance Day all about ?;DESCRIPTION
4878;What food did Marco Polo introduce into Italy from the court of Kubla Khan ?;ENTITY
4879;What diamond producer controls about 80% of the world 's diamonds ?;HUMAN
4880;Who is the prophet of the religion of Islam ?;HUMAN
4881;Who portrayed Maggio in the film From Here to Eternity ?;HUMAN
4882;Where are zebras most likely found ?;LOCATION
4883;What are the odds of giving birth to twins ?;NUMERIC
4884;What is the best place to live in the world , considering climate , civilization ?;LOCATION
4885;What is meant by `` capital market '' ?;DESCRIPTION
4886;In My Antonia , how is Mr. Shimerda out of place on the farm ?;DESCRIPTION
4887;What ship did Lloyd M. Bucher command ?;ENTITY
4888;Name a medicine commonly used to combat AIDS ?;ENTITY
4889;What is the difference between hair and fur ?;DESCRIPTION
4890;What is the difference between love and infatuation ?;DESCRIPTION
4891;Name the cartoon genie conjured by the magic ring shared by Nancy and Chuck .;HUMAN
4892;What foods contain vitamin B12 ?;ENTITY
4893;What is the amount of money owed for illegally having a dog on a beach ?;NUMERIC
4894;What are the first and last letters of the Greek alphabet ?;ENTITY
4895;What is the web address at which I can find the e-mail address of a member of the US House of Representatives ?;LOCATION
4896;How big is the largest diamond ?;NUMERIC
4897;What are some ways to help someone with Chicken Pox ?;ENTITY
4898;How do I find out the exact time of a sunset for a particular day ?;DESCRIPTION
4899;When did the original Howdy Doody show go off the air ?;NUMERIC
4900;How many languages are there in the world ?;NUMERIC
4901;Who was Picasso ?;HUMAN
4902;Who were the only two bald U.S. Presidents ?;HUMAN
4903;Which member of Charlie 's Angels sang vocals for Josie and the Pussycats ?;HUMAN
4904;What river flows past the Temple of Karnak ?;LOCATION
4905;What comedian was The Perfect Fool ?;HUMAN
4906;What are the benefits of a rowing machine ?;DESCRIPTION
4907;Where do you find information about the Queensland National Competition Policy;LOCATION
4908;What 's a `` coup de poing '' to a French boxer ?;DESCRIPTION
4909;What 's the difference between carelessness and carefreeness ?;DESCRIPTION
4910;What is the Islamic counterpart to the Red Cross ?;ENTITY
4911;Why does tuberculosis afflict people ?;DESCRIPTION
4912;Who loved Flash Gordon besides Dale ?;HUMAN
4913;What is tyvek ?;DESCRIPTION
4914;What do humans catch zoonose diseases from ?;ENTITY
4915;How did Asia get its name ?;DESCRIPTION
4916;What was the name of the U.S. Navy gunboat in the film The Sand Pebbles ?;ENTITY
4917;Where can I get information on the original 13 US colonies ?;LOCATION
4918;For what disease is the drug Sinemet used as a treatment ?;ENTITY
4919;What are three ways in which wind is created on the earth ?;ENTITY
4920;What gender is not allowed to vote in Kuwait ?;ENTITY
4921;How many inches over six feet is Tom Selleck ?;NUMERIC
4922;What is the name of the disease that actress Hunter Tylo 's baby girl has ?;ENTITY
4923;Who 's the only president buried in Washington;HUMAN
4924;How much could you rent a Volkswagen bug for in 1966 ?;NUMERIC
4925;Whose singing voice was dubbed in for Natalie Wood in West Side Story and Audrey Hepburn in My Fair Lady ?;HUMAN
4926;What is the mean income of the top 10% , top 5% , and top 1% ?;NUMERIC
4927;What North American city sprouts the most parking meters ?;LOCATION
4928;What is the largest and most expensive freeway construction project in the U.S. right now ?;LOCATION
4929;What can I do to get into an Ivy League school ?;DESCRIPTION
4930;What film did Louise Fletcher win the best actress Oscar for ?;ENTITY
4931;Where did Gulliver find a race of tiny people ?;LOCATION
4932;What 1950 film won seven Oscars , including best picture ?;ENTITY
4933;How much stronger is the new vitreous carbon material invented by the Tokyo Institute of Technology compared with the material made from cellulose ?;NUMERIC
4934;How much do tuberculosis combatting drugs cost ?;NUMERIC
4935;President Bush compared Saddam Hussein to whom ?;HUMAN
4936;What 's the name of Pittsburgh 's baseball team ?;HUMAN
4937;What Shakespeare play opens with the line : `` Now is the winter of our discontent.. . '' ?;ENTITY
4938;What TV comedian worked with White Fang , Black Tooth and Pookie the Lion ?;HUMAN
4939;Who created the character James Bond ?;HUMAN
4940;What type of exercise burns the most calories ?;ENTITY
4941;What is `` the only cigarette made with no leftovers '' ?;DESCRIPTION
4942;Where did the Japanese Imperial Forces surrender to end WWII ?;LOCATION
4943;What is Mikhail Gorbachev 's middle initial ?;ABBREVIATION
4944;How many rows of whiskers does a cat have ?;NUMERIC
4945;What British general surrendered to the colonial army at Saratoga ?;HUMAN
4946;How can people from Ireland come to the U.S. , work , and then return to Ireland ?;DESCRIPTION
4947;What product 's ads claim that it `` eliminates odors , kills household germs , mold , and mildew '' ?;ENTITY
4948;What is the world population as of today ?;NUMERIC
4949;What is the history of Buffalo chicken wings ?;DESCRIPTION
4950;What is humidity ?;DESCRIPTION
4951;What kind of creatures are black , yellow , and brown bullheads ?;ENTITY
4952;What city would you be in if you were feeding the pigeons in the Piazza San Marco ?;LOCATION
4953;What artist 's studio was the Bateau-Lavoir in Montmartre ?;HUMAN
4954;What is the name of the planet that the Ewoks live on ?;LOCATION
4955;How many words are there in the Spanish language ?;NUMERIC
4956;Where is there information on the novel `` El Cid '' ?;LOCATION
4957;What is the chemical formula for napalm ?;ENTITY
4958;What is yohimbine ?;DESCRIPTION
4959;What is `` Chicago Hope '' ?;DESCRIPTION
4960;How many members of a family could be drafted in the U.S. military during World War II ?;NUMERIC
4961;Who wrote the song , `` Silent Night '' ?;HUMAN
4962;What company is the largest Japanese ship builder ?;HUMAN
4963;What does the `` blue ribbon '' stand for ?;ABBREVIATION
4964;What is the average date when most malls begin putting up Christmas holiday decorations ?;NUMERIC
4965;How many characters are in the Chinese alphabet ?;NUMERIC
4966;Where is Burma ?;LOCATION
4967;Who wrote The Collector ?;HUMAN
4968;Which major diamond producer is based in South Africa ?;HUMAN
4969;Who was Samuel Johnsons 's friend and biographer ?;HUMAN
4970;What kind of women gave Sigmund Freud erotic dreams ?;HUMAN
4971;What are the Cleveland Indians also called ?;ENTITY
4972;What commodity 's shortage was the largest single factor in keeping North American cars off the roads during World War II ?;ENTITY
4973;How many hummingbird eggs could fit in one ostrich egg ?;NUMERIC
4974;Who wrote the bestselling Missionary Travels and Researches in South Africa , published in 1857 ?;HUMAN
4975;Who played the father on `` Charles in Charge '' ?;HUMAN
4976;What is the gestation period for human pregnancies ?;NUMERIC
4977;Where did the name Daniel originate ?;LOCATION
4978;What are common methods used to regulate monopolies ?;ENTITY
4979;What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?;DESCRIPTION
4980;How long does the average domesticated ferret live ?;NUMERIC
4981;Name the Islamic counterpart to the Red Cross .;ENTITY
4982;What are the historical trials following World War II called ?;ENTITY
4983;What states do not have state income tax ?;LOCATION
4984;What city has the two steepest streets in the U.S. ?;LOCATION
4985;What is Margaret Thatcher known for ?;DESCRIPTION
4986;Name the country of giants twelve times the size of man in `` Gulliver 's Travels . '';LOCATION
4987;What 's men 's par on a 455-yard golf hole ?;NUMERIC
4988;What four elements make up 90 percent of the human body ?;ENTITY
4989;How many countries are there ?;NUMERIC
4990;Where does most of the marijuana entering the United States come from ?;LOCATION
4991;Stuart Hamblen is considered to be the first singing cowboy of which medium ?;ENTITY
4992;What is Steve Rogers 's profession when he 's not Captain America ?;HUMAN
4993;What is the most common cancer ?;ENTITY
4994;Who are the top 10 richest people in the world ?;HUMAN
4995;How do I contact Answers.com direct ?;DESCRIPTION
4996;What causes a person to have constantly sweaty hands and feet ?;DESCRIPTION
4997;What happened to Answers.com ?;DESCRIPTION
4998;What is the spectrum of a sine wave ?;DESCRIPTION
4999;What ethnic group introduced the idea of potlatch ?;HUMAN
5000;What is a person 's socioeconomic position ?;DESCRIPTION
5001;What do you say to a friend who ignores you for other friends ?;DESCRIPTION
5002;How many yards are in 1 mile ?;NUMERIC
5003;What actor was the first man to appear on the cover of McCall 's ?;HUMAN
5004;What does R.E.M. stand for , as in the rock group R.E.M. ?;ABBREVIATION
5005;What Cruise Line does Kathie Lee Gifford advertise for ?;HUMAN
5006;What does the name Jenna mean ?;DESCRIPTION
5007;Why do girls have to wear training bras ?;DESCRIPTION
5008;When was the first successful heart transplant for a human ?;NUMERIC
5009;How did Edith Bunker die ?;DESCRIPTION
5010;What country boasts Cawdor Castle , Glamis Castle , and Blair Castle ?;LOCATION
5011;Define Spumante .;DESCRIPTION
5012;What does pH stand for ?;ABBREVIATION
5013;What country is Mount Everest in ?;LOCATION
5014;Which country is the largest country in Latin America ?;LOCATION
5015;Name the Four Horsemen of the Apocalypse .;HUMAN
5016;What are geckos ?;DESCRIPTION
5017;What is the name of a book written by Aaron Hass ?;ENTITY
5018;What is cosmology ?;DESCRIPTION
5019;How many watts make a kilowatt ?;NUMERIC
5020;What TV series features the adventures of a married couple named Jonathan and Jennifer ?;ENTITY
5021;What female faith healer wrote the inspirational book I Believe in Miracles ?;HUMAN
5022;Who was Jinnah ?;HUMAN
5023;What did Esquire name Ash Hole of the Year for 1980 ?;ENTITY
5024;Where did King Francis I hang the `` Mona Lisa '' when he owned it ?;LOCATION
5025;What 's been the ruin of many a poor boy in New Orleans ?;ENTITY
5026;What is habeas corpus ?;DESCRIPTION
5027;How do you use an intranet ?;DESCRIPTION
5028;What famous husband-and-wife team did radio ads for Blue Nun wine ?;HUMAN
5029;How many times has Harold Stassen announced a drive for the White House ?;NUMERIC
5030;What are bottle caps with presidents ' pictures inside worth ?;NUMERIC
5031;Where can I find the history of the Hungarian language ?;LOCATION
5032;Why do USA fax machines not work in UK , NNP ?;DESCRIPTION
5033;What cigarette is `` a whole new world '' ?;ENTITY
5034;Who tramped through Florida looking for the Fountain of Youth ?;HUMAN
5035;In 1990 , what day of the week did Christmas fall on ?;NUMERIC
5036;What is the name of the song that Dracula plays on the organ ?;ENTITY
5037;What two animals are specifically mentioned as being in Noah 's Ark ?;ENTITY
5038;What is federal income tax ?;DESCRIPTION
5039;What was the name of the Confederate mounted guerrilla group with which Jesse James and Coleman Younger had ridden ?;HUMAN
5040;What disease plagued Europe , Africa and Asia ?;ENTITY
5041;What card game can feature dealer 's choice ?;ENTITY
5042;How many American soldiers are stationed in South Korea ?;NUMERIC
5043;What is a fear of failure ?;ENTITY
5044;How many feet more than 2 is the average height of the Great Wall of China ?;NUMERIC
5045;What was the verdict in the 1925 trial of John T. Scopes ?;DESCRIPTION
5046;What is the best way to travel in Japan ?;ENTITY
5047;How long ago did the Anglican church part from the Vatican ?;NUMERIC
5048;How much did Lucy Van Pelt originally charge for psychiatric sessions ?;NUMERIC
5049;Who followed up his first two underwater thrillers with The Girl of the Sea of Cortez ?;HUMAN
5050;When was the Parthenon built ?;NUMERIC
5051;What 1895 H.G. Wells novel was written under the title The Chronic Argonauts ?;ENTITY
5052;What is a common dolphin ?;DESCRIPTION
5053;How is Answers.com funded ?;DESCRIPTION
5054;How long does a pig 's orgasm last ?;NUMERIC
5055;What U.S. state comes last in an alphabetical list ?;LOCATION
5056;How many mountains have been named for Presidents in the continental USA ?;NUMERIC
5057;What are the unemployment statistics for the years 1965 and 1990 ?;NUMERIC
5058;What does BUD stand for ?;ABBREVIATION
5059;Who is the one Independent Member of Congress ?;HUMAN
5060;What is a society ruled by elders ?;HUMAN
5061;What two presidents of the U.S. published books of poetry ?;HUMAN
5062;Which of the Seven Dwarfs comes first alphabetically ?;HUMAN
5063;What professional cricketer 's son wrote The War of the Worlds in 1898 ?;HUMAN
5064;What condiment do the Dutch dip their French fries in ?;ENTITY
5065;Which comic strip was never turned into a Broadway musical ?;ENTITY
5066;In what war was the first submarine used ?;ENTITY
5067;CPR is the abbreviation for what ?;ABBREVIATION
5068;How many inches apart are adjacent pins in tenpin bowling ?;NUMERIC
5069;How many miles of corridors are in The Pentagon ?;NUMERIC
5070;How do you find the area of a circle ?;DESCRIPTION
5071;What U.S. state includes the San Juan Islands ?;LOCATION
5072;What English playwright penned : `` Where the bee sucks , so shall I '' ?;HUMAN
5073;What do the red-and-white stripes on a barbershop pole stand for ?;DESCRIPTION
5074;Name the ship Beany and Cecil sailed .;ENTITY
5075;How deep is a fathom ?;NUMERIC
5076;What was the `` Dead Man 's Hand '' ?;DESCRIPTION
5077;What was Fred Astaire 's dancing partner 's name ?;HUMAN
5078;How do I find a web address for a company ?;DESCRIPTION
5079;What is the highest number of home runs on record for any one game ?;NUMERIC
5080;What are some of Australia 's native flora ?;ENTITY
5081;What heavyweight boxer was known as The Wild Bull of the Pampas ?;HUMAN
5082;How many quarts of whole milk is needed to make one pound of butter ?;NUMERIC
5083;What London street claims to be the world center for men 's tailoring ?;LOCATION
5084;How old is the universe ?;NUMERIC
5085;When does the Bible say the seasons started ?;NUMERIC
5086;What animal has been called The Poor Man 's Cow ?;ENTITY
5087;Where did the marriage ceremony come from ?;DESCRIPTION
5088;What bordering country is due north of Costa Rica ?;LOCATION
5089;What Morris West novel deals with Russian bishop who becomes Pope ?;ENTITY
5090;What nation boarders Mozambique ?;LOCATION
5091;What does EKG stand for ?;ABBREVIATION
5092;The Olympic Games in which year allowed Nadia Comaneci to become popular ?;NUMERIC
5093;What TV talk-show host lends his name to a line of men 's clothing ?;HUMAN
5094;What soft drink held a national flavor poll in 1967 ?;ENTITY
5095;Colin Powell is famous for what ?;DESCRIPTION
5096;The Jewish alphabet is known as what ?;ENTITY
5097;What is a fear of home surroundings ?;ENTITY
5098;How many people die of tuberculosis yearly ?;NUMERIC
5099;What is a specimen of basidiomycetes ?;DESCRIPTION
5100;Who invented the electric guitar ?;HUMAN
5101;What is the capital of California ?;LOCATION
5102;What country comes last in an alphabetical list ?;LOCATION
5103;What are faults in the earth 's crust ?;DESCRIPTION
5104;What was an `` Asiento '' ?;DESCRIPTION
5105;What kind of greeting is appropriate to send on Yom Kippur ?;DESCRIPTION
5106;How hot should the oven be when baking Peachy Oat Muffins ?;NUMERIC
5107;What is dextropropoxyphen napsylate ?;DESCRIPTION
5108;What Don McLean song laments the day Buddy Holly died ?;ENTITY
5109;What is Srpska Krajina ?;DESCRIPTION
5110;How was the Kennedy money made ?;DESCRIPTION
5111;What country is the worlds leading supplier of cannabis ?;LOCATION
5112;What was the orca 's name that died of a fungal infection at Sea World ?;ENTITY
5113;Who is the President of Pergament ?;HUMAN
5114;What city is the Kentucky Horse Park near ?;LOCATION
5115;What does Esa-Pekka Salonen look like ?;DESCRIPTION
5116;What cereal goes `` snap , crackle , pop '' ?;ENTITY
5117;How did water appear on the earth ?;DESCRIPTION
5118;Where did Hillary Clinton graduate college ?;LOCATION
5119;What does Robert mean ?;DESCRIPTION
5120;How do anti-locking brakes work ?;DESCRIPTION
5121;What colors is magenta made of ?;ENTITY
5122;How does the chain of command work inside an US army Apache helicopter ?;DESCRIPTION
5123;Which medium is Hamblen the first singing cowboy in ?;ENTITY
5124;What is the name of Jamiroquai new album ?;ENTITY
5125;What is a hormone ?;DESCRIPTION
5126;What American naval officer broke Japan 's isolationist policy in 1853 ?;HUMAN
5127;What is fellatio ?;DESCRIPTION
5128;What characteristics contribute to its `` intelligence '' ?;DESCRIPTION
5129;What significant battle was fought in Belgium in 1815 ?;ENTITY
5130;Which police department made the all-time biggest cocaine bust in Ventura County ?;HUMAN
5131;Who gave us the `` Rolling Writer '' ?;HUMAN
5132;How were the days of the week named ?;DESCRIPTION
5133;Who wrote The Secret Life of Walter Mitty ?;HUMAN
5134;What 1965 film had Jack Lemmon portraying a cartoonist ?;ENTITY
5135;What is fiber in food ?;DESCRIPTION
5136;What 's the traditional drink at the Kentucky Derby ?;ENTITY
5137;Who is the head of the World Bank ?;HUMAN
5138;Why do some jets have a vapor trail , and others do not ?;DESCRIPTION
5139;What is a fear of childbirth ?;ENTITY
5140;How many people does Honda employ in the U.S. ?;NUMERIC
5141;What species was Winnie the Pooh ?;ENTITY
5142;How much calcium should an adult female have daily ?;NUMERIC
5143;What is the most popular last name ?;HUMAN
5144;What does an ashen-faced eidologist search out the existence of ?;ENTITY
5145;Who moderated the first Kennedy-Nixon TV debate ?;HUMAN
5146;Who portrayed George M. Cohan in 1942 's Yankee Doodle Dandy ?;HUMAN
5147;What is the S&amp;
5148;What does `` Philebus-like '' mean ?;DESCRIPTION
5149;When was Nostradamus born ?;NUMERIC
5150;What are the ingredients of Coca-Cola ?;ENTITY
5151;Who 's the only U.S. president to have won a Pulitzer Prize ?;HUMAN
5152;What is nuclear proliferation ?;DESCRIPTION
5153;Who was Maria Theresa ?;HUMAN
5154;What is the country of origin for the name Thomas ?;LOCATION
5155;Why do you say `` God bless you '' when people sneeze ?;DESCRIPTION
5156;What is the population of the largest Chilean city;NUMERIC
5157;What country has the highest per capita consumption of cheese ?;LOCATION
5158;What is Larry King 's occupation ?;HUMAN
5159;Who invented `` The Muppets '' ?;HUMAN
5160;Why does a wheel , e.g. a car tire , appear to spin in the opposite direction as it slows down ?;DESCRIPTION
5161;What sea is Bombay on ?;LOCATION
5162;Who are cartoondom 's Super Six ?;HUMAN
5163;What does `` E Pluribus Unum '' on the penny mean ?;DESCRIPTION
5164;What 's the difference between TFT and dual-scan display ?;DESCRIPTION
5165;What fool is not so wise To lose an oath to win a paradise ?;HUMAN
5166;What is the English meaning of caliente ?;DESCRIPTION
5167;Where in the Americas is it only 47 miles from the Atlantic to the Pacific ?;LOCATION
5168;What does the word `` opera '' mean ?;DESCRIPTION
5169;How tall was the animated Frankenstein;NUMERIC
5170;How do you ask questions ?;DESCRIPTION
5171;What U.S. city is known as The Rubber Capital of the World ?;LOCATION
5172;What countries have the highest ratio of university students ?;LOCATION
5173;How can you become an FBI agent ?;DESCRIPTION
5174;What is the world 's best selling cookie ?;ENTITY
5175;How many miles is it from NY to Austria ?;NUMERIC
5176;Where did the energy for the Big Bang come from ?;DESCRIPTION
5177;How big is the universe actually ?;NUMERIC
5178;What is the difference between the Koran and The Bible ?;DESCRIPTION
5179;What monarch signed the Magna Carta ?;HUMAN
5180;What 's the U.S. Navy hymn ?;ENTITY
5181;How many sides does a heptagon have ?;NUMERIC
5182;What Grand Slam golf tournament wasn 't held between 1940 and 1945 ?;ENTITY
5183;What is idealab ! ?;DESCRIPTION
5184;Where are there aborigines ?;LOCATION
5185;What toy can you make sleep ?;ENTITY
5186;What caused the division between the Anglicans and the Vatican ?;DESCRIPTION
5187;What corporation does Madonna advertise for ?;HUMAN
5188;On what river is Rome built ?;LOCATION
5189;Where on the Web is Adventours Tours from Sydney , Australia ?;LOCATION
5190;Where were the 1936 Summer Olympics held ?;LOCATION
5191;What cathedral was Thomas Becket murdered in ?;LOCATION
5192;Why was Curious George curious ?;DESCRIPTION
5193;How did U.S.A become involved in the Barbary Wars;DESCRIPTION
5194;The Kentucky Horse Park is close to which American city ?;LOCATION
5195;What store does Martha Stewart advertise for ?;HUMAN
5196;What do you know about multicultural and multilingual schools ?;DESCRIPTION
5197;What is the origin of U.S. Army sergeant 's stripes ?;DESCRIPTION
5198;How old was Sir Edmund Hillary when he climbed Mt. Everest ?;NUMERIC
5199;Where in a tree does photosynthesis occur ?;LOCATION
5200;What are some science fair projects for 8th graders ?;ENTITY
5201;What strait links the Mediterranean Sea and the Atlantic Ocean ?;LOCATION
5202;What airport is on the Piccadilly subway line ?;LOCATION
5203;Which police department made the largest cocaine seizure ever in Ventura County ?;HUMAN
5204;What color is the eight-ball in pocket billiards ?;ENTITY
5205;What was the first ready-to-eat breakfast cereal ?;ENTITY
5206;What did Benny Carter play ?;ENTITY
5207;What seven digits follow the area code in the number for long distance information ?;NUMERIC
5208;What city 's airport is named Logan International ?;LOCATION
5209;What Pope inaugurated Vatican International Radio ?;HUMAN
5210;How many times more than 3;NUMERIC
5211;How many names are there for Eskimo people ?;NUMERIC
5212;What king is satirized in the line : `` The King was in the countinghouse , counting all his money '' ?;HUMAN
5213;What shape-shifting menace did Rom come to Earth to fight ?;ENTITY
5214;What is the nickname of Pennsylvania ?;LOCATION
5215;What causes headaches ?;DESCRIPTION
5216;Names of books by James A. Michener set in the following locations ?;ENTITY
5217;When was the first stained glass window made ?;NUMERIC
5218;What company 's trademark was His Master 's Voice ?;HUMAN
5219;What Pope inaugurated Vatican International Radio ?;HUMAN
5220;What director made one silent and one sound version of The Ten Commandments ?;HUMAN
5221;When did swimming become commonplace ?;NUMERIC
5222;Which presidents of the USA were Masons ?;HUMAN
5223;Who was the tallest U.S. president ?;HUMAN
5224;What is the largest museum in the world ?;LOCATION
